CACode,VaCode,Estimate,ASE,Flag
C03E,V11B,23.2,2.1,
C03E,V11C,45.2,2.5,
C03E,V11D,20.6,2,
C03E,V11M,6.9,0.1,
C03E,V12A,19.7,2,
C03E,V12B,36.7,2.8,
C03E,V12C,33.9,2.4,
C03E,V12D,9.8,1.4,
C03E,V12M,5.9,0.1,
C03E,V13A,4.9,0.8,
C03E,V13B,11.5,1.5,
C03E,V13C,42.8,2.4,
C03E,V13D,40.8,2.6,
C03E,V13M,7.9,0.1,
C03E,V14A,42,2.3,
C03E,V14B,36,2.5,
C03E,V14C,19.4,2.2,
C03E,V14D,2.6,0.8,
C03E,V14M,4.7,0.1,
C03E,V15A,79.6,2.2,
C03E,V15B,17.7,2,
C03E,V15C,2.8,0.7,
C03E,V16A,82.2,1.8,
C03E,V16B,13.3,1.7,
C03E,V16C,4.5,0.8,
C03E,V17A,1.7,0.5,
C03E,V17B,9.4,1.3,
C03E,V17C,20.5,1.9,
C03E,V17D,37.5,2.4,
C03E,V17E,30.9,2.2,
C03E,V18A,96,1,
C03E,V18B,4,1,
C03F,V00T,11.8,,B
C03F,V01A,11.7,1.4,
C03F,V01B,11.1,1.7,
C03F,V01C,31,2.3,
C03F,V01D,20.7,2,
C03F,V01E,25.6,2.1,
C03F,V01M,8.2,0.1,
C03F,V02A,8.6,1.3,
C03F,V02B,11.2,1.8,
C03F,V02C,28.1,2.4,
C03F,V02D,21,1.9,
C03F,V02E,31.1,2.4,
C03F,V02M,8.4,0.1,
C03F,V03A,13.8,1.7,
C03F,V03B,16.2,2.2,
C03F,V03C,34.8,2.7,
C03F,V03D,18.4,1.9,
C03F,V03E,16.8,2.1,
C03F,V03M,8,0.1,
C03F,V04A,6.3,1.2,
C03F,V04B,18,1.9,
C03F,V04C,49,2.6,
C03F,V04D,26.7,2.7,
C03F,V05A,16.1,1.8,
C03F,V05B,38,2.3,
C03F,V05C,29.4,2.1,
C03F,V05D,16.5,1.9,
C03F,V06A,1.2,0.4,*
C03F,V06B,2.2,0.7,*
C03F,V06C,11,1.6,
C03F,V06D,34.9,2.6,
C03F,V06E,50.7,2.7,
C03F,V06M,8.2,0.1,
C03F,V07A,69.2,2.3,
C03F,V07B,8.4,1.4,
C03F,V07C,10.8,1.5,
C03F,V07D,8.9,1.5,
C03F,V07E,2.7,0.9,*
C03F,V07M,2,0.1,
C03F,V08A,14.2,1.7,
C03F,V09A,65.6,2.6,
C03F,V09B,19.8,2.2,
